"id","product_name","expiration","open_date","detail","created_at","updated_at","consumed","user_id","tags","favorites"
1,"いか味付け","2023-10-01",NULL,"伊藤食品
ウエルシア","2021-01-20 07:07:53.059413","2021-01-20 07:15:38.845140",1,1,0,0
2,"さばオリーブオイル漬け","2023-06-13",NULL,"三星","2021-01-20 07:13:43.317615","2021-01-24 04:07:46.668021",1,1,1,0
3,"ユッケジャンの素","2021-12-01",NULL,"エスビー食品","2021-01-20 07:11:05.129615","2021-01-24 04:07:25.553188",1,1,0,1
22,"山芋グラタンソース","2021-01-29",NULL,"ダイショー","2020-02-19 07:38:48.000000","2021-01-26 06:33:55.427232",0,1,1,1
82,"バターチキンカレー","2022-06-26",NULL,"いなば","2020-02-19 07:44:39.000000","2020-02-19 07:44:39.000000",1,1,0,0
102,"小いか醤油煮","2020-12-23",NULL,"伊藤食品","2020-02-19 07:46:51.000000","2020-12-23 07:11:24.990688",0,1,0,0
172,"シャキッとコーン","2021-08-03",NULL,"はごろもフーズ","2020-02-19 07:57:15.000000","2020-02-19 07:57:15.000000",1,1,0,0
182,"シャキッとコーン","2021-08-03",NULL,"はごろもフーズ","2020-02-19 07:58:07.000000","2020-02-19 07:58:07.000000",1,1,0,0
202,"はちみつ　りんご","2021-05-01",NULL,"九州蜂の子","2020-02-19 08:00:10.000000","2020-02-19 08:00:10.000000",1,1,0,0
212,"はちみつ　菩提樹","2021-05-01",NULL,"九州蜂の子","2020-02-19 08:01:01.000000","2020-02-19 08:01:01.000000",1,1,0,0
232,"かき薫製油漬け","2021-10-01",NULL,"国分グループ","2020-02-19 08:05:07.000000","2020-02-19 08:05:07.000000",1,1,0,0
262,"さば水煮","2021-06-12",NULL,"伊藤食品","2020-02-19 08:07:09.000000","2020-02-19 08:07:09.000000",1,1,0,0
292,"さば水煮","2021-10-31",NULL,"高木商店","2020-02-19 08:09:44.000000","2020-02-19 08:09:44.000000",1,1,0,0
302,"さば水煮","2021-11-01",NULL,"日本水産","2020-02-19 08:10:27.000000","2020-02-19 08:10:27.000000",1,1,0,0
312,"さば味噌煮","2021-10-01",NULL,"日本水産","2020-02-19 08:11:18.000000","2020-02-19 08:11:18.000000",1,1,0,0
322,"さばオリーブオイル漬け","2022-02-16",NULL,"三星","2020-02-19 08:13:06.000000","2020-02-19 08:13:06.000000",1,1,0,0
332,"さばオリーブオイル漬け","2022-03-08",NULL,"岩手県産","2020-02-19 08:14:21.000000","2020-02-19 08:14:21.000000",1,1,0,0
342,"さばレモンバジル","2022-02-21",NULL,"岩手県産","2020-02-19 08:15:25.000000","2020-02-19 08:15:25.000000",1,1,0,0
352,"さばレモンバジル","2022-01-18",NULL,"岩手県産","2020-02-19 08:16:11.000000","2020-02-19 08:16:11.000000",1,1,0,0
362,"さばパプリカチリソース","2022-02-23",NULL,"岩手県産","2020-02-19 08:17:00.000000","2020-02-19 08:17:00.000000",1,1,0,0
402,"カレイの中骨煮付","2021-08-01",NULL,"キョクヨー","2020-02-19 08:20:29.000000","2020-02-19 08:20:29.000000",1,1,0,0
412,"サバカレー","2022-02-27",NULL,"信田缶詰","2020-02-19 08:22:02.000000","2020-02-19 08:22:02.000000",1,1,0,0
422,"さば味付き","2022-12-10",NULL,"福井缶詰","2020-02-26 07:42:52.000000","2020-02-26 07:42:52.000000",1,1,0,0
432,"さば水煮","2022-12-04",NULL,"福井缶詰","2020-02-26 07:43:33.000000","2020-02-26 07:43:33.000000",1,1,0,0
442,"さば水煮","2022-09-03",NULL,"信田缶詰","2020-02-26 07:44:13.000000","2020-02-26 07:44:13.000000",1,1,0,0
452,"さば水煮","2023-01-06",NULL,"伊藤食品","2020-02-26 07:44:42.000000","2020-02-26 07:44:42.000000",1,1,0,0
462,"さばオリーブオイル漬け","2022-05-27",NULL,"富永食品","2020-02-26 07:45:45.000000","2020-02-26 07:45:45.000000",1,1,0,0
472,"さばオリーブオイル漬け","2022-06-27",NULL,"富永食品","2020-02-26 07:46:20.000000","2020-02-26 07:46:20.000000",1,1,0,0
482,"さばオイル漬け","2022-08-01",NULL,"日本水産","2020-02-26 07:47:13.000000","2020-02-26 07:47:13.000000",1,1,0,0
492,"さばトマト煮じゃがいも入り","2022-03-01",NULL,"相浦缶詰","2020-02-26 07:48:20.000000","2020-02-26 07:48:20.000000",1,1,0,0
502,"かつお油漬フレーク","2022-11-01",NULL,"はごろもフーズ","2020-02-26 07:49:06.000000","2020-02-26 07:49:06.000000",1,1,0,0
512,"かつお油漬フレーク","2022-11-01",NULL,"はごろもフーズ","2020-02-26 07:49:28.000000","2020-02-26 07:49:28.000000",1,1,0,0
522,"かつお油漬フレーク","2022-11-01",NULL,"はごろもフーズ","2020-02-26 07:50:04.000000","2020-02-26 07:50:04.000000",1,1,0,0
532,"かつお油漬フレーク","2022-11-01",NULL,"はごろもフーズ","2020-02-26 07:50:24.000000","2020-02-26 07:50:24.000000",1,1,0,0
552,"さんま塩焼","2022-05-01",NULL,"極洋","2020-02-26 07:52:47.000000","2020-02-26 07:52:47.000000",1,1,0,0
562,"さんま蒲焼","2022-12-01",NULL,"田原缶詰","2020-02-26 07:53:33.000000","2020-02-26 07:53:33.000000",1,1,0,0
572,"トマトピューレ","2022-01-01",NULL,"日欧商事","2020-02-26 07:54:33.000000","2020-02-26 07:54:33.000000",1,1,0,0
582,"トマトピューレ","2022-04-08",NULL,"キッコーマン","2020-02-26 07:55:16.000000","2020-02-26 07:55:16.000000",1,1,0,0
592,"トマトピューレ","2022-04-08",NULL,"キッコーマン","2020-02-26 07:55:55.000000","2020-02-26 07:55:55.000000",1,1,0,0
632,"酸辣湯","2021-04-17",NULL,"kaldi","2020-02-19 07:37:56.000000","2020-02-19 07:37:56.000000",1,1,1,1
642,"酸辣湯","2021-05-27",NULL,"SB","2020-02-19 07:38:48.000000","2020-02-19 07:38:48.000000",1,1,1,1
652,"クリームマッシュルーム","2021-02-01",NULL,"キャンベル","2020-02-19 07:39:43.000000","2021-01-26 06:36:20.809719",0,1,0,0
702,"ユッケジャン","2021-05-02",NULL,"SB","2020-02-19 07:46:51.000000","2020-02-19 07:46:51.000000",1,1,0,0
752,"麻婆豆腐　広東風","2021-05-01",NULL,"味の素","2020-02-19 07:55:47.000000","2020-02-19 07:55:47.000000",1,1,0,0
762,"黒麻婆豆腐","2021-09-01",NULL,"味の素","2020-02-19 07:56:14.000000","2020-02-19 07:56:14.000000",1,1,0,0
802,"鶏肉のトマト煮","2021-04-09",NULL,"モランボン","2020-02-19 07:58:28.000000","2020-02-19 07:58:28.000000",0,1,0,0
832,"ふわ玉トマト炒め","2021-02-14",NULL,"キッコーマン","2020-02-19 08:03:59.000000","2020-02-19 08:03:59.000000",1,1,0,0
852,"デミグラスソース","2021-02-13",NULL,"ハインツ","2020-02-19 08:05:49.000000","2020-02-19 08:05:49.000000",1,1,0,0
862,"ホワイトソース","2021-10-02",NULL,"ハインツ","2020-02-19 08:06:27.000000","2020-02-19 08:06:27.000000",1,1,0,0
